dt,dt_iso,timezone,city_name,lat,lon,temp,rain_1h,rain_3h
1586156400,2020-04-06 07:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,50.18,,
1586160000,2020-04-06 08:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,51.8,,
1586163600,2020-04-06 09:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,52.95,,
1586167200,2020-04-06 10:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,53.53,,
1586170800,2020-04-06 11:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,54.21,,
1586174400,2020-04-06 12:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,54.84,,
1586178000,2020-04-06 13:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,54.84,,
1586181600,2020-04-06 14:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,54.95,,
1586185200,2020-04-06 15:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,52.88,,
1586188800,2020-04-06 16:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,52.93,,
1586192400,2020-04-06 17:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,50.63,,
1586196000,2020-04-06 18:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.95,,
1586199600,2020-04-06 19:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,47.68,,
1586203200,2020-04-06 20:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.61,,
1586206800,2020-04-06 21:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,42.69,,
1586210400,2020-04-06 22:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,42.08,,
1586214000,2020-04-06 23:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,41.11,,
1586217600,2020-04-07 00:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,41.85,,
1586221200,2020-04-07 01:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,40.5,,
1586224800,2020-04-07 02:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,39.13,,
1586228400,2020-04-07 03:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,40.75,,
1586232000,2020-04-07 04:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,38.07,,
1586235600,2020-04-07 05:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,36.77,,
1586239200,2020-04-07 06:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,39.45,,
1586242800,2020-04-07 07:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,42.44,,
1586246400,2020-04-07 08:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.61,,
1586250000,2020-04-07 09:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,48.45,,
1586253600,2020-04-07 10:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,50.65,,
1586257200,2020-04-07 11:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,52.66,,
1586260800,2020-04-07 12:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,53.47,,
1586264400,2020-04-07 13:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,54.84,,
1586268000,2020-04-07 14:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,55.45,,
1586271600,2020-04-07 15:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,55.85,,
1586275200,2020-04-07 16:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,54.54,,
1586278800,2020-04-07 17:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,53.42,,
1586282400,2020-04-07 18:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,52.2,,
1586286000,2020-04-07 19:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.55,,
1586289600,2020-04-07 20:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,48.22,,
1586293200,2020-04-07 21:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,48.27,,
1586296800,2020-04-07 22:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,47.53,,
1586300400,2020-04-07 23:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,47.71,,
1586304000,2020-04-08 00:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,47.44,,
1586307600,2020-04-08 01:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,46.27,,
1586311200,2020-04-08 02:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.91,,
1586314800,2020-04-08 03:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.54,,
1586318400,2020-04-08 04:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.48,,
1586322000,2020-04-08 05:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.45,,
1586325600,2020-04-08 06:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.79,,
1586329200,2020-04-08 07:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,46.9,,
1586332800,2020-04-08 08:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,50.23,,
1586336400,2020-04-08 09:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,51.87,,
1586340000,2020-04-08 10:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,53.58,,
1586343600,2020-04-08 11:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,55.6,,
